# STITCH 1	STITCH 2	Polypharmacy Side Effect	Side Effect Name
CID000002173	CID000003345	C0151714	hypermagnesemia
CID000002173	CID000003345	C0035344	retinopathy of prematurity
CID000002173	CID000003345	C0004144	atelectasis
CID000002173	CID000003345	C0002063	alkalosis
CID000002173	CID000003345	C0004604	Back Ache
CID000002173	CID000003345	C0034063	lung edema
CID000002173	CID000003345	C0085631	agitated
CID000002173	CID000003345	C0013384	abnormal movements
CID000002173	CID000003345	C0001122	Acidosis
CID000002173	CID000003345	C0034150	peliosis
CID000002173	CID000003345	C0038000	rupture of spleen
CID000002173	CID000003345	C0003578	Apnea
CID000002173	CID000003345	C0013182	Drug hypersensitivity
CID000002173	CID000003345	C0016204	flatulence
CID000002173	CID000003345	C0242429	pain in throat
CID000002173	CID000003345	C0020517	allergies
CID000002173	CID000003345	C0040034	thrombocytopenia
CID000002173	CID000003345	C0428977	bradycardia
CID000002173	CID000003345	C0235896	lung infiltration
CID000002173	CID000003345	C0019080	Bleeding
CID000002173	CID000003345	C0158986	hypoglycaemia neonatal
CID000002173	CID000003345	C0236124	Gastrointestinal Obstruction
CID000002173	CID000003345	C0020456	hyperglycaemia
CID000002173	CID000003345	C0031154	peritonitis
CID000002173	CID000003345	C0020615	hypoglycaemia
CID000002173	CID000003345	C0000731	abdominal distension
CID000002173	CID000003345	C0018790	asystole
CID000002173	CID000003345	C0007785	cerebral infarct
CID000002173	CID000003345	C0242184	hypoxia
CID000002173	CID000003345	C0013404	Difficulty breathing
CID000002173	CID000003345	C0020672	decreased body temperature
CID000002173	CID000003345	C0030446	adynamic ileus
CID000002173	CID000003345	C0243026	sepsis
CID000002173	CID000003345	C0151723	Hypomagnesaemia
CID000002173	CID000003345	C0035220	neonatal respiratory distress syndrome
CID000002173	CID000003345	C0035222	Acute Respiratory Distress Syndrome
CID000002173	CID000003345	C0023798	lipoma
CID000002173	CID000003345	C0030790	pelvic infection
CID000002173	CID000003345	C0003611	appendectomy
CID000002173	CID000003345	C0016199	flank pain
CID000002173	CID000003345	C0032326	pneumothorax
CID000002173	CID000003345	C0003615	appendicitis
CID000002173	CID000003345	C0038379	Strabismus
CID000002173	CID000003345	C0020598	Blood calcium decreased
CID000002173	CID000003345	C1145670	respiratory failure
CID000002173	CID000003345	C0020542	pulmonary hypertension
CID000002173	CID000003345	C0020440	Hypercapnia
CID000002173	CID000003345	C0021845	intestinal perforation
CID000002173	CID000003345	C0023518	leucocytosis
CID000002173	CID000003345	C0024115	Disorder Lung
CID000002173	CID000003345	C0020040	hot flash
CID000002173	CID000003345	C0020649	arterial pressure NOS decreased
CID000002173	CID000003345	C0220981	metabolic acidosis
CID000002173	CID000003345	C0010692	Bladder inflammation
CID000002173	CID000003345	C0003962	ascites
CID000002173	CID000003345	C0013274	patent ductus arteriosis
CID000005206	CID000009433	C0040034	thrombocytopenia
CID000005206	CID000009433	C0039239	sinus tachycardia
CID000005206	CID000009433	C0038450	stridor
CID000005206	CID000009433	C0497247	arterial pressure NOS increased
CID000005206	CID000009433	C0398353	Hypoventilation
CID000005206	CID000009433	C0013604	edema
CID000005206	CID000009433	C0023895	disease of liver
CID000005206	CID000009433	C0151904	Aspartate Aminotransferase Increase
CID000005206	CID000009433	C0277925	Cold extremities
CID000005206	CID000009433	C0013182	Drug hypersensitivity
CID000005206	CID000009433	C0016382	facial flushing
CID000005206	CID000009433	C0002792	anaphylactic reaction
CID000003929	CID000150610	C0015230	eruption
CID000003929	CID000150610	C0001339	acute pancreatitis
CID000003929	CID000150610	C0032285	neumonia
CID000003929	CID000150610	C0013384	abnormal movements
CID000003929	CID000150610	C1145670	respiratory failure
CID000003929	CID000150610	C0001418	adenocarcinoma
CID000003929	CID000150610	C0019080	Bleeding
CID000003929	CID000150610	C0040034	thrombocytopenia
CID000003929	CID000150610	C0009676	confusion
CID000003929	CID000150610	C0162429	malnourished
CID000003929	CID000150610	C0019112	haemorrhoids
CID000003929	CID000150610	C0013604	edema
CID000003929	CID000150610	C0595939	still birth
CID000003929	CID000150610	C0002871	anaemia
CID000003929	CID000150610	C0013221	drug toxicity NOS
CID000003929	CID000150610	C0750426	increased white blood cell count
CID000003929	CID000150610	C0243026	sepsis
CID000003929	CID000150610	C0085584	encephalopathy
CID000003929	CID000150610	C0003123	Anorexia
CID000003929	CID000150610	C0040822	tremor
CID000003929	CID000150610	C0018524	Hallucination
CID000003929	CID000150610	C0024117	chronic obstructive airway disease
CID000003929	CID000150610	C0013144	drowsiness
CID000003929	CID000150610	C0018681	Head ache
CID000001302	CID000005064	C0004601	back injury
CID000001302	CID000005064	C0041834	erythema
CID000001302	CID000005064	C0004604	Back Ache
CID000001302	CID000005064	C0012569	Diplopia
CID000001302	CID000005064	C0038002	enlarged spleen
