STITCH_1,STITCH_2,Polypharmacy_Side_Effect,Side_Effect_Name,STITCH_1_encoded,STITCH_2_encoded,drug_interaction_score,drug_sum,drug_diff,severity,affected_system,side_effect_category,severity_encoded,system_encoded,category_encoded,has_severe_interaction
CID000002173,CID000003345,C0151714,hypermagnesemia,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0035344,retinopathy of prematurity,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0004144,atelectasis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0002063,alkalosis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0004604,Back Ache,7,2,14,9,5,moderate,other,pain,1,0,7,0
CID000002173,CID000003345,C0034063,lung edema,7,2,14,9,5,severe,other,respiratory,2,0,8,1
CID000002173,CID000003345,C0085631,agitated,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0013384,abnormal movements,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0001122,Acidosis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0034150,peliosis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0038000,rupture of spleen,7,2,14,9,5,severe,other,other,2,0,6,1
CID000002173,CID000003345,C0003578,Apnea,7,2,14,9,5,moderate,other,respiratory,1,0,8,0
CID000002173,CID000003345,C0013182,Drug hypersensitivity,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0016204,flatulence,7,2,14,9,5,mild,other,other,0,0,6,0
CID000002173,CID000003345,C0242429,pain in throat,7,2,14,9,5,moderate,other,pain,1,0,7,0
CID000002173,CID000003345,C0020517,allergies,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0040034,thrombocytopenia,7,2,14,9,5,severe,other,hematological,2,0,2,1
CID000002173,CID000003345,C0428977,bradycardia,7,2,14,9,5,moderate,other,cardiovascular,1,0,0,0
CID000002173,CID000003345,C0235896,lung infiltration,7,2,14,9,5,moderate,other,respiratory,1,0,8,0
CID000002173,CID000003345,C0019080,Bleeding,7,2,14,9,5,severe,other,hematological,2,0,2,1
CID000002173,CID000003345,C0158986,hypoglycaemia neonatal,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0236124,Gastrointestinal Obstruction,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0020456,hyperglycaemia,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0031154,peritonitis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0020615,hypoglycaemia,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0000731,abdominal distension,7,2,14,9,5,mild,other,gastrointestinal,0,0,1,0
CID000002173,CID000003345,C0018790,asystole,7,2,14,9,5,severe,other,other,2,0,6,1
CID000002173,CID000003345,C0007785,cerebral infarct,7,2,14,9,5,severe,other,other,2,0,6,1
CID000002173,CID000003345,C0242184,hypoxia,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0013404,Difficulty breathing,7,2,14,9,5,moderate,other,respiratory,1,0,8,0
CID000002173,CID000003345,C0020672,decreased body temperature,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0030446,adynamic ileus,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0243026,sepsis,7,2,14,9,5,severe,other,infectious,2,0,3,1
CID000002173,CID000003345,C0151723,Hypomagnesaemia,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0035220,neonatal respiratory distress syndrome,7,2,14,9,5,moderate,other,respiratory,1,0,8,0
CID000002173,CID000003345,C0035222,Acute Respiratory Distress Syndrome,7,2,14,9,5,severe,other,respiratory,2,0,8,1
CID000002173,CID000003345,C0023798,lipoma,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0030790,pelvic infection,7,2,14,9,5,moderate,other,infectious,1,0,3,0
CID000002173,CID000003345,C0003611,appendectomy,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0016199,flank pain,7,2,14,9,5,moderate,other,pain,1,0,7,0
CID000002173,CID000003345,C0032326,pneumothorax,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0003615,appendicitis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0038379,Strabismus,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0020598,Blood calcium decreased,7,2,14,9,5,moderate,other,hematological,1,0,2,0
CID000002173,CID000003345,C1145670,respiratory failure,7,2,14,9,5,severe,other,respiratory,2,0,8,1
CID000002173,CID000003345,C0020542,pulmonary hypertension,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0020440,Hypercapnia,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0021845,intestinal perforation,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0023518,leucocytosis,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0024115,Disorder Lung,7,2,14,9,5,moderate,other,respiratory,1,0,8,0
CID000002173,CID000003345,C0020040,hot flash,7,2,14,9,5,moderate,other,other,1,0,6,0
CID000002173,CID000003345,C0020649,arterial pressure NOS decreased,7,2,14,9,5,moderate,other,other,1,0,6,0
